Gender,Age,Income (USD),Income Stability,Property Age,Property Location,Property Price,Loan Sanction Amount (USD)
M,46,911.23,Low,910.23,Urban,73063.37,22272.75165998052
M,53,1832.68,Low,1843.68,Rural,150419.59,48790.154876810855
F,37,1837.38,Low,1842.38,Rural,157832.28,52783.90742743763
M,55,3035.17,Low,3040.17,Urban,110598.13,36344.09809795566
M,45,1167.76,Low,1171.76,Urban,62330.41,19011.394709044533
M,42,1817.1,Low,1830.1,Rural,28281.85,8617.828288605728
M,35,2651.21,Low,2656.21,Semi-Urban,42265.36,14441.904120974636
M,18,2431.85,Low,2438.85,Semi-Urban,121050.14,42028.20004675133
F,53,2006.67,Low,2019.67,Urban,118008.41,38180.21880593181
M,39,2457.73,Low,2467.73,Urban,113531.75,38007.32227656029
F,18,1245.04,Low,1248.04,Rural,30983.68,11070.177880036295
F,18,8186.23,Low,8174.23,Semi-Urban,59582.71,27491.27567427844
M,53,3466.14,Low,3460.14,Rural,138363.94,46402.11863107896
F,18,1547.69,Low,1553.69,Rural,280666.38,95252.6997558699
M,40,1404.49,Low,1390.49,Urban,66789.82,21137.75993022261
F,18,4251.25,Low,4257.25,Semi-Urban,183099.07,64967.43308079342
M,56,1783.94,Low,1794.94,Rural,124198.07,39694.86518299114
F,23,2496.39,Low,2482.39,Rural,154677.95,53495.966106438325
F,40,2731.11,Low,2726.11,Urban,135523.79,45823.80035770511
F,49,1389.07,Low,1383.07,Semi-Urban,21557.92,5318.620132889162
M,18,4164.93,Low,4153.93,Semi-Urban,222795.69,77968.75232021247
F,58,6513.29,Low,6515.29,Rural,201649.43,70621.2386978859
F,34,1239.75,Low,1235.75,Semi-Urban,180505.55,59746.01883651025
M,60,2139.13,Low,2130.13,Urban,74559.36,22919.29502036437
M,27,2541.6,Low,2550.6,Urban,353450.52,119633.52822290028
F,31,4462.3,Low,4468.3,Semi-Urban,40026.99,16095.184374581018
F,34,3054.26,Low,3063.26,Rural,107646.29,37409.496663183
F,18,5067.7,Low,5074.7,Rural,49912.71,21339.58703241036
M,19,1329.21,Low,1331.21,Semi-Urban,160919.02,54211.4821387436
M,55,1928.99,Low,1934.99,Semi-Urban,29507.98,7836.432342349188
M,18,2445.29,Low,2449.29,Urban,205509.81,70549.32338388883
M,29,1653.21,Low,1660.21,Rural,118954.44,39933.59492277051
F,18,2300.01,Low,2295.01,Rural,14895.37,6740.586595328095
M,53,2464.55,Low,2456.55,Urban,369089.56,122742.64855627104
F,51,4975.27,Low,4976.27,Urban,273209.91,93501.949412394
F,32,2506.46,Low,2494.46,Urban,212561.47,72101.2618467366
F,25,1100.72,Low,1105.72,Rural,75564.86,25345.256742759484
M,18,2788.56,Low,2781.56,Rural,48807.44,18394.307376308887
M,63,1275.82,High,1286.82,Semi-Urban,66756.34,30258.388893109848
F,62,2475.45,Low,2477.45,Rural,75282.66,23727.751098931643
F,18,9594.25,Low,9597.25,Rural,341820.89,124021.74897534375
F,37,948.33,Low,936.33,Rural,36553.56,11127.091157483548
M,18,3422.59,Low,3415.59,Urban,133480.46,47347.48817097191
F,36,1551.14,Low,1563.14,Urban,28314.94,8929.553054161966
M,39,1816.17,Low,1825.17,Semi-Urban,108029.63,35364.68791881795
M,22,1145.58,Low,1154.58,Rural,42436.75,14266.039009951488
M,36,3216.76,Low,3228.76,Rural,76525.98,26728.9771632472
M,18,1744.15,Low,1739.15,Semi-Urban,46704.48,16345.227380001936
M,53,3394.35,Low,3380.35,Semi-Urban,202335.22,67537.63625575067
F,56,1943.68,Low,1944.68,Urban,120612.27,38747.02474848213
F,36,1764.48,Low,1754.48,Urban,69262.43,22891.2254747074
M,36,1517.84,Low,1534.84,Semi-Urban,245003.92,81312.39848843217
M,30,1410.28,Low,1395.28,Rural,108165.09,35970.55627993398
F,64,2792.28,Low,2790.28,Urban,195311.93,64072.92443030234
M,18,992.77,Low,990.77,Rural,49811.55,16897.86823334338
M,39,2742.38,Low,2755.38,Rural,248096.72,83639.83069276586
F,29,1767.16,Low,1756.16,Rural,106228.11,36002.2887299408
F,27,4097.55,Low,4093.55,Urban,305633.83,105392.01155626409
F,19,4391.24,Low,4394.24,Rural,271549.65,95017.3151914176
M,61,2952.95,Low,2941.95,Semi-Urban,248256.13,81880.37289775071
F,23,3822.83,Low,3824.83,Semi-Urban,190684.27,66679.7405526976
M,48,1136.95,Low,1137.95,Semi-Urban,68166.08,20563.44849221337
F,23,5647.37,Low,5650.37,Rural,185120.4,66952.69461123347
F,34,4520.85,Low,4521.85,Urban,112561.84,40418.40064189614
F,60,4473.59,Low,4469.59,Rural,43950.65,15401.28630780051
F,19,2439.41,Low,2454.41,Urban,195185.06,67237.92659737205
M,18,1617.6,Low,1608.6,Semi-Urban,195115.03,66066.72100745438
M,24,2132.11,Low,2114.11,Rural,151657.64,51791.45163621601
F,62,2573.25,Low,2586.25,Semi-Urban,195839.61,64054.22524423
F,48,5585.4,Low,5578.4,Rural,299143.38,103208.30414474852
M,62,1572.21,High,1570.21,Rural,181002.77,69286.44237082584
F,65,2837.74,High,2852.74,Semi-Urban,80420.33,36525.57940325059
M,50,3475.46,Low,3467.46,Urban,542561.7,182285.11484889503
M,42,2361.46,Low,2370.46,Semi-Urban,172577.78,57367.48160815107
F,19,3114.34,Low,3109.34,Rural,138476.95,49006.75962333605
F,35,2462.57,Low,2463.57,Urban,130400.42,44226.79685227317
F,62,1280.92,High,1276.92,Rural,37560.0,21039.665770140906
M,36,1032.64,Low,1031.64,Urban,44315.75,13531.27471830187
F,56,3506.66,Low,3512.66,Semi-Urban,208836.75,69845.64094919382
M,49,2633.66,Low,2636.66,Semi-Urban,170691.01,56455.22340708939
M,18,1336.78,Low,1339.78,Semi-Urban,83167.51,28181.14419646593
M,51,5282.88,Low,5279.88,Semi-Urban,183131.31,63181.76030731024
M,61,1577.65,Low,1575.65,Rural,289632.27,94653.1456115829
M,41,2451.63,Low,2445.63,Semi-Urban,66440.65,21878.34455938645
M,46,3338.42,Low,3346.42,Semi-Urban,113371.45,38161.40007525828
M,27,1872.19,Low,1872.19,Semi-Urban,95305.21,32092.347603342896
F,41,1721.67,Low,1722.67,Semi-Urban,378104.35,126063.5090172161
M,56,1633.65,Low,1634.65,Semi-Urban,69311.36,20823.21833826064
F,61,4108.71,Low,4105.71,Urban,371299.13,124772.12932746897
M,23,2073.08,Low,2071.08,Urban,202314.1,68696.6446937657
F,22,3649.14,Low,3649.14,Rural,105794.35,38340.36942684963
F,57,648.82,Low,662.82,Urban,29194.23,6642.051693942827
F,18,1249.04,Low,1246.04,Rural,30983.68,11071.200431956924
F,63,1812.35,Low,1823.35,Semi-Urban,246926.44,80356.73646231616
F,22,3360.04,Low,3346.04,Rural,44516.56,17453.622858667793
F,27,4350.24,Low,4346.24,Urban,394831.8,135613.10356214305
M,38,3704.28,Low,3712.28,Semi-Urban,102993.52,35682.28107854596
F,18,2432.54,Low,2432.54,Semi-Urban,39762.05,14955.958936940156
M,30,3424.53,Low,3415.53,Urban,92704.99,32702.19560045672
F,18,1931.89,Low,1927.89,Semi-Urban,187738.22,64149.00226655288
F,39,1616.07,Low,1600.07,Rural,76510.33,25071.60765521199
M,60,2787.67,High,2777.67,Urban,84401.09,38095.86880361545
M,41,3782.06,Low,3786.06,Semi-Urban,383817.71,129854.77809411845
F,24,8016.18,Low,8020.18,Urban,258195.49,93705.29522809562
M,35,1474.22,Low,1467.22,Rural,294432.68,98214.0915534704
M,63,2918.09,Low,2926.09,Urban,120112.76,38789.148222346754
F,26,5017.9,Low,5015.9,Urban,226130.72,79707.16568825261
M,19,1245.6,Low,1262.6,Rural,58675.52,20064.525954253702
M,63,2736.33,High,2742.33,Semi-Urban,35912.59,21388.48201382944
F,23,5675.42,Low,5682.42,Urban,221443.02,79046.77603465508
F,32,1296.48,Low,1284.48,Semi-Urban,145669.55,48256.30531085018
M,36,3025.09,Low,3033.09,Rural,257449.46,87305.378259245
F,49,2951.45,Low,2950.45,Semi-Urban,51215.21,16881.042372263557
F,18,2122.93,Low,2130.93,Rural,268234.89,91666.04354696716
M,61,1356.8,High,1352.8,Semi-Urban,126452.83,50544.528048060005
M,18,16774.62,Low,16776.62,Semi-Urban,513015.0,188357.7239266171
F,56,1388.33,Low,1380.33,Semi-Urban,32307.33,8373.961149378272
M,63,1983.24,Low,1983.24,Semi-Urban,112417.23,35106.23708288325
F,18,2014.95,Low,1998.95,Rural,72027.09,25634.726567453803
F,53,2359.67,Low,2363.67,Urban,72003.5,23082.95884164464
F,57,3446.34,Low,3444.34,Urban,168422.98,56263.14301416556
F,42,4657.24,Low,4657.24,Semi-Urban,150448.16,52513.129730246685
F,35,3502.2,Low,3491.2,Urban,67922.65,24296.68009873813
M,27,1843.04,Low,1850.04,Rural,187188.13,63206.45925679145
F,19,1420.26,Low,1410.26,Semi-Urban,156219.15,52956.01453130048
F,65,1615.0,High,1623.0,Semi-Urban,29182.27,18060.186099339768
F,40,1938.43,Low,1945.43,Urban,77030.07,25370.61387827849
M,18,2562.68,Low,2556.68,Urban,130217.28,45372.554229317226
F,64,1631.94,Low,1636.94,Urban,93668.59,28746.73811376379
M,18,2906.11,Low,2911.11,Semi-Urban,60175.92,22063.72818779301
M,54,1820.03,Low,1815.03,Semi-Urban,207544.68,67603.23028383029
M,32,1926.41,Low,1929.41,Semi-Urban,89081.59,29663.20472501615
F,18,3289.78,Low,3306.78,Rural,89303.13,32758.414439814733
F,18,1823.07,Low,1826.07,Semi-Urban,100423.79,34711.30816186491
F,21,1531.08,Low,1520.08,Semi-Urban,313075.86,105600.72357609836
M,18,1041.57,Low,1039.57,Semi-Urban,122333.05,41032.91044424059
M,39,2655.33,Low,2654.33,Semi-Urban,143010.43,47968.143990531775
F,63,1323.89,Low,1332.89,Rural,151949.3,48227.96880176362
M,64,1385.99,High,1391.99,Rural,34265.68,19651.094873603768
M,21,3791.52,Low,3800.52,Rural,269231.13,93233.7981338877
M,40,2558.99,Low,2562.99,Urban,203975.99,68410.03344518457
M,60,1166.72,Low,1165.72,Semi-Urban,122745.99,37977.66721720735
M,65,3930.83,High,3930.83,Urban,96363.77,42892.80605904572
M,18,3141.81,Low,3138.81,Rural,183703.74,64070.90759500682
M,47,2526.36,Low,2536.36,Semi-Urban,151289.06,49989.938465187006
M,47,4240.84,Low,4234.84,Rural,40555.92,14813.997839083724
M,63,1777.71,High,1780.71,Semi-Urban,51945.23,25792.271897728057
F,36,3228.65,Low,3236.65,Semi-Urban,198956.63,67825.64270042283
M,25,1569.56,Low,1559.56,Rural,31991.3,10943.7932086121
F,18,1583.0,Low,1578.0,Urban,39351.04,14084.504834412395
M,56,2814.71,Low,2824.71,Urban,149134.84,48987.07539317722
M,55,5393.35,Low,5402.35,Semi-Urban,115115.9,40137.21522427171
F,19,3341.82,Low,3344.82,Urban,193190.99,67484.71954332959
F,20,3470.96,Low,3472.96,Semi-Urban,167791.48,58867.28042488411
M,20,1582.97,Low,1579.97,Urban,91135.66,31086.07194384229
M,35,1886.54,Low,1873.54,Urban,212308.34,70908.19472212254
M,26,1361.2,Low,1356.2,Rural,209353.62,70232.38594743356
F,25,2012.9,Low,2001.9,Urban,67504.33,23424.33144690508
F,65,1975.13,High,1973.13,Semi-Urban,141794.28,56251.09447966486
F,57,4005.1,Low,3996.1,Semi-Urban,184231.03,62003.18067599845
M,32,3408.61,Low,3404.61,Semi-Urban,66787.93,23686.535618797647
F,39,2756.63,Low,2757.63,Semi-Urban,37318.02,12805.669834995757
M,32,4947.91,Low,4948.91,Rural,54791.0,21508.917506298592
M,21,1897.45,Low,1884.45,Urban,48290.79,16931.302915683496
M,63,3041.84,Low,3044.84,Semi-Urban,188352.36,61697.7954412226
F,42,1900.22,Low,1900.22,Rural,210966.45,70298.50589305049
M,53,3633.26,Low,3634.26,Urban,346455.37,116339.2118173674
F,28,4275.31,Low,4271.31,Urban,279992.61,96881.4711918497
M,59,3811.32,Low,3815.32,Semi-Urban,106802.98,35408.11547944246
M,65,2003.87,High,1995.87,Semi-Urban,174948.98,67178.1805907296
M,63,1219.76,High,1208.76,Semi-Urban,62597.88,28792.938320487177
M,18,1106.53,Low,1106.53,Rural,58446.15,19915.685421728504
M,65,1889.73,High,1877.73,Urban,75263.19,33711.59374635981
M,19,3078.18,Low,3063.18,Rural,67248.12,24801.715883962148
F,18,1586.3,Low,1569.3,Semi-Urban,37416.7,13294.110782442353
F,65,1791.94,High,1786.94,Semi-Urban,69684.41,31839.640530355304
M,60,2652.75,Low,2647.75,Semi-Urban,166363.0,54146.65905450043
F,47,3214.05,Low,3214.05,Rural,157015.89,53123.77528855133
F,37,3787.48,Low,3791.48,Urban,175241.88,60487.71062382765
M,18,4144.99,Low,4144.99,Semi-Urban,223177.5,78082.2413804265
F,58,1521.49,Low,1505.49,Semi-Urban,62276.75,18414.922120851057
F,36,1051.34,Low,1054.34,Urban,35708.64,10897.515564768582
F,18,2159.86,Low,2158.86,Urban,55258.06,20019.78435857454
M,27,1304.15,Low,1313.15,Urban,192029.08,64144.70950497865
F,24,734.32,Low,736.32,Semi-Urban,71043.44,23253.63579308332
F,28,1702.98,Low,1708.98,Rural,37161.32,12824.06816172681
F,25,1065.66,Low,1064.66,Semi-Urban,62117.59,20513.50502528544
F,29,1961.02,Low,1945.02,Rural,252724.3,85407.84969778542
F,55,1704.23,Low,1700.23,Rural,37183.66,10691.884528635235
F,39,1812.85,Low,1818.85,Urban,53653.32,17468.256228972303
M,32,2429.87,Low,2427.87,Urban,277020.39,93444.29836304736
M,58,2380.62,Low,2381.62,Urban,268251.61,88393.18198754813
M,56,2340.37,Low,2336.37,Urban,47104.74,14221.70542273738
M,23,2339.97,Low,2343.97,Rural,182969.03,62612.23690457526
M,30,1345.64,Low,1344.64,Urban,57838.7,18868.49401214306
F,25,2096.49,Low,2090.49,Urban,143328.19,48982.53703730875
M,25,2100.79,Low,2098.79,Semi-Urban,102849.08,35017.371187364646
M,37,4419.23,Low,4423.23,Urban,233526.89,80476.0559390393
F,40,4975.19,Low,4961.19,Rural,383907.2,131686.81667465335
M,34,2830.11,Low,2818.11,Semi-Urban,120107.53,40843.40208085765
M,59,1345.38,Low,1347.38,Rural,127108.29,39982.0752486525
F,52,2407.51,Low,2395.51,Semi-Urban,239234.33,79239.84652995676
M,18,1349.96,Low,1353.96,Rural,67638.98,23254.635843521886
M,54,2836.11,Low,2848.11,Semi-Urban,87086.67,28187.57839535328
M,46,3518.15,Low,3535.15,Urban,310888.18,104835.96620909884
F,34,1408.14,Low,1411.14,Semi-Urban,28349.59,8810.712981509743
M,18,982.14,Low,976.14,Semi-Urban,88131.62,29481.41095820164
M,24,1315.66,Low,1328.66,Rural,42451.08,14288.602010035343
F,36,2334.56,Low,2341.56,Rural,90277.15,30679.82279072218
F,25,2094.19,Low,2104.19,Rural,68418.86,23963.2578341777
F,48,2246.7,Low,2234.7,Rural,67732.4,22057.938108401933
F,62,1757.46,High,1745.46,Rural,35252.51,20747.747971965684
F,55,4957.04,Low,4958.04,Rural,213673.57,73305.7556491548
M,18,2520.28,Low,2522.28,Rural,91576.93,32491.3802717295
F,22,1553.1,Low,1550.1,Rural,106287.49,36361.17770768528
M,65,2403.34,High,2420.34,Semi-Urban,136267.06,54605.70507586496
M,65,718.78,High,720.78,Semi-Urban,35608.47,19063.018247253065
F,52,1564.58,Low,1558.58,Semi-Urban,105824.94,33567.1073394396
F,47,1017.03,Low,1034.03,Rural,86181.64,27091.797688146005
M,65,2173.76,High,2169.76,Semi-Urban,106734.45,44439.841177822986
F,59,1957.08,Low,1945.08,Urban,38885.87,11063.852899263104
F,18,1578.16,Low,1562.16,Semi-Urban,167303.48,56916.87729448858
M,63,4213.87,High,4202.87,Urban,234846.65,89852.93178972008
F,65,636.56,High,648.56,Semi-Urban,69724.28,30680.28901065347
F,35,3367.94,Low,3372.94,Rural,190780.49,65574.90784914762
F,18,2794.37,Low,2807.37,Semi-Urban,84354.27,30311.67471906769
M,29,1955.57,Low,1951.57,Semi-Urban,127634.84,42877.27482804022
M,31,1659.13,Low,1666.13,Urban,132637.23,44239.79138578689
M,29,3149.33,Low,3140.33,Urban,125213.47,43419.89623086713
M,19,2797.03,Low,2786.03,Urban,247864.84,85049.80036908922
M,18,1325.78,Low,1328.78,Semi-Urban,63300.86,21496.44222579478
F,36,3595.72,Low,3590.72,Urban,152898.8,52860.81284177495
F,54,2226.42,Low,2238.42,Rural,100680.4,32642.478755066182
M,47,1593.68,Low,1592.68,Urban,56324.95,17268.84385758416
M,47,3072.66,Low,3073.66,Urban,223127.09,74813.10589422443
M,52,2080.27,Low,2090.27,Semi-Urban,62545.85,19328.31603927468
M,32,2990.78,Low,2990.78,Rural,77831.6,27246.76222238924
M,34,1233.11,Low,1217.11,Semi-Urban,93936.26,30417.08768267865
M,23,1568.65,Low,1566.65,Rural,78751.79,26812.59224592241
F,30,4399.47,Low,4399.47,Rural,135593.04,48484.52457543402
M,65,2960.82,High,2961.82,Urban,49396.97,26124.701668229343
F,18,2446.91,Low,2446.91,Rural,53487.2,19856.82973458212
M,18,2246.31,Low,2240.31,Urban,52021.98,18782.279302491257
M,52,2767.55,Low,2756.55,Semi-Urban,106097.1,34649.763239822554
F,58,3057.75,Low,3063.75,Urban,159333.87,52737.629420787525
M,37,2341.5,Low,2339.5,Urban,299605.51,100545.028709057
F,18,2157.68,Low,2147.68,Semi-Urban,90246.59,31628.170088451683
F,41,774.98,Low,791.98,Rural,99952.89,31944.85658509145
M,60,3662.94,Low,3663.94,Rural,275884.55,92248.0729196675
M,43,901.09,Low,917.09,Semi-Urban,31931.3,8553.755351588356
F,20,1513.86,Low,1517.86,Semi-Urban,171394.89,58077.49668124051
F,58,1243.54,Low,1243.54,Urban,56900.87,16470.92391387358
F,26,1851.44,Low,1848.44,Rural,223219.15,75628.61660558816
F,55,4456.52,Low,4448.52,Urban,195436.3,66525.35712236841
M,23,2517.11,Low,2513.11,Urban,129862.98,44812.436932694734
M,26,2689.03,Low,2675.03,Semi-Urban,51517.68,18290.78283881292
F,60,1328.63,Low,1330.63,Rural,133034.2,42112.73734057445
F,54,5164.56,Low,5173.56,Urban,167211.73,57856.17936584077
F,22,1047.87,Low,1042.87,Rural,59440.68,20107.107298432653
F,51,3123.86,Low,3121.86,Rural,91080.64,30565.638592612424
F,60,983.63,High,982.63,Rural,34761.97,19955.52354956659
F,50,4019.49,Low,4030.49,Urban,153791.64,52494.756590738216
M,28,1273.72,Low,1259.72,Semi-Urban,48795.08,15770.78844574776
M,38,4171.93,Low,4168.93,Urban,133890.56,46671.41641271973
M,18,1502.28,Low,1502.28,Urban,228778.64,77399.28991080346
F,37,1642.82,Low,1642.82,Urban,145518.75,48308.27165625976
F,54,1055.37,Low,1061.37,Urban,202972.28,65665.19725961912
M,34,1518.2,Low,1518.2,Semi-Urban,188630.14,62525.63505410969
M,51,2250.27,Low,2249.27,Rural,113833.96,37079.671936994826
M,48,1543.78,Low,1548.78,Urban,97637.05,31019.02677476979
M,47,3341.09,Low,3350.09,Semi-Urban,152961.87,51384.44852204268
F,54,2273.87,Low,2263.87,Urban,179967.6,59175.43930015207
F,43,3205.12,Low,3201.12,Semi-Urban,361754.83,121927.63957274766
M,63,2189.34,Low,2188.34,Semi-Urban,115240.34,36264.7913874767
F,18,2828.5,Low,2839.5,Urban,175419.55,61073.37217948071
F,65,2115.33,High,2124.33,Urban,73053.83,33447.17577504568
F,51,2045.87,Low,2043.87,Semi-Urban,134610.31,43809.7645946517
M,61,2463.59,Low,2450.59,Urban,62380.5,19078.891452855587
M,24,2099.79,Low,2099.79,Rural,80455.22,27849.83058940809
M,18,2754.39,Low,2754.39,Rural,255718.19,87866.83043255511
F,28,1322.17,Low,1315.17,Rural,137778.7,46226.64825352503
F,64,4147.22,Low,4157.22,Rural,220233.14,73973.76386264109
F,21,3099.44,Low,3100.44,Semi-Urban,156277.27,54539.99917011457
M,63,1284.51,High,1284.51,Semi-Urban,199588.75,74881.70325829576
M,60,677.61,High,666.61,Urban,65339.77,29534.7780481976
M,45,1379.58,Low,1387.58,Semi-Urban,127486.51,40978.91370204761
F,18,3500.04,Low,3503.04,Rural,279919.32,96996.59845951508
M,52,1219.71,Low,1225.71,Urban,34994.27,9329.25093299576
M,35,3044.84,Low,3055.84,Urban,133711.7,45703.30198018902
F,47,2246.1,Low,2233.1,Rural,59480.44,19363.983368036024
M,54,1511.62,Low,1517.62,Rural,39591.91,11151.80133748411
F,18,6723.84,Low,6726.84,Urban,164468.21,61373.778567943664
F,18,3225.74,Low,3227.74,Rural,39695.78,16021.537533519797
M,33,3531.81,Low,3540.81,Rural,167552.92,57863.992402962496
F,24,3198.89,Low,3196.89,Rural,414915.74,141558.4366893519
F,35,4150.97,Low,4159.97,Urban,100384.95,35874.79543275529
F,26,1947.81,Low,1959.81,Semi-Urban,145750.63,49436.46452994046
M,63,1016.61,High,1014.61,Semi-Urban,109095.08,44208.79400096797
F,54,1718.51,Low,1708.51,Rural,188969.64,61769.316032061135
F,48,5435.49,Low,5425.49,Urban,220550.03,76515.13506789268
F,18,3393.8,Low,3385.8,Urban,194352.88,68001.64668388586
M,58,1358.61,Low,1356.61,Semi-Urban,87478.8,26484.89867705327
F,18,3221.69,Low,3212.69,Semi-Urban,92636.83,33519.59806656363
M,51,1912.85,Low,1921.85,Urban,290763.45,96034.69883642164
M,18,975.82,Low,962.82,Rural,32932.89,11205.16090789654
M,47,1295.58,Low,1289.58,Urban,68478.01,21043.828190905107
M,46,4404.14,Low,4405.14,Urban,49634.04,17975.253784812983
M,54,1818.82,Low,1811.82,Rural,113218.91,36191.50430062509
F,34,4709.27,Low,4705.27,Semi-Urban,98830.55,35858.138654036884
M,61,1618.61,High,1610.61,Semi-Urban,109736.93,45195.119328462
F,18,2080.52,Low,2077.52,Semi-Urban,181954.63,62358.71588991887
F,31,5316.17,Low,5326.17,Urban,429297.24,147868.92063618125
M,18,3389.89,Low,3406.89,Urban,191476.61,66807.94675241364
F,42,1248.66,Low,1238.66,Rural,16555.08,4321.951100251332
F,36,3592.72,Low,3592.72,Urban,152898.8,52860.30156581464
F,20,1891.31,Low,1877.31,Semi-Urban,63030.08,22053.173526029284
F,22,3665.14,Low,3650.14,Rural,105794.35,38349.06111817493
M,18,1490.57,Low,1473.57,Urban,142857.52,48516.65529336543
M,18,6261.5,Low,6261.5,Urban,246751.21,88303.04842076963
M,21,4060.81,Low,4068.81,Rural,179941.74,63515.237392804585
M,55,1930.97,Low,1917.97,Urban,63996.72,19551.80225015508
F,61,2747.32,Low,2757.32,Rural,194716.03,64208.09703991894
M,34,1240.33,Low,1222.33,Rural,109066.71,35781.682365019435
F,43,2159.56,Low,2151.56,Semi-Urban,164878.04,54723.10185235213
F,38,2008.36,Low,2008.36,Urban,84364.86,28060.60020657586
F,47,4510.89,Low,4517.89,Rural,78330.64,28022.09000142308
F,30,4901.14,Low,4907.14,Semi-Urban,148216.53,52965.23378453828
M,20,3091.31,Low,3091.31,Semi-Urban,44558.73,16846.329433561197
F,18,1855.32,Low,1866.32,Urban,287212.83,97630.99306636731
F,26,4811.78,Low,4815.78,Urban,250554.23,87703.62457901743
F,18,5324.11,Low,5332.11,Rural,152543.21,56077.14747476688
F,55,2154.02,Low,2155.02,Semi-Urban,41905.78,12464.864380500796
M,42,1975.51,Low,1972.51,Semi-Urban,209168.07,69257.8241784073
F,28,2989.03,Low,2993.03,Urban,104613.03,36658.09929220294
F,59,1674.9,Low,1671.9,Rural,32580.91,8799.860881854649
F,46,1310.6,Low,1317.6,Urban,132279.74,42813.03977201563
M,59,3270.61,Low,3257.61,Rural,205330.58,68218.89019451708
M,34,3326.04,Low,3329.04,Semi-Urban,40069.14,14472.29845011975
M,65,2273.18,High,2285.18,Semi-Urban,161188.38,62841.43352224255
M,61,1661.52,Low,1662.52,Urban,113464.01,35425.475074085974
F,30,2063.76,Low,2061.76,Urban,95652.1,32540.59624138966
F,21,1545.94,Low,1527.94,Rural,154682.12,52681.64864328805
M,59,2082.38,Low,2091.38,Rural,56937.94,17168.184911072793
F,65,923.39,High,916.39,Semi-Urban,137981.91,53892.457021387934
M,26,1213.12,Low,1221.12,Urban,156579.0,52222.099878791545
F,28,2362.12,Low,2354.12,Rural,159681.91,54647.09948565705
F,42,909.35,Low,901.35,Urban,212657.6,69711.41351587336
M,44,2600.67,Low,2599.67,Semi-Urban,151711.85,50439.63770103644
F,52,2050.26,Low,2045.26,Semi-Urban,35700.07,10508.438892942451
M,40,2018.52,Low,2024.52,Rural,394276.85,131920.6786103564
M,35,1961.52,Low,1951.52,Urban,121581.77,40510.22045131236
F,34,2321.47,Low,2324.47,Semi-Urban,16677.79,5823.9380837296485
M,65,1839.13,High,1850.13,Semi-Urban,113127.78,46252.93253377872
M,26,2865.03,Low,2855.03,Urban,188676.32,64683.94815556125
M,24,5689.06,Low,5688.06,Urban,163829.52,59388.13030577856
F,37,1404.93,Low,1403.93,Semi-Urban,100431.14,32781.154243717465
F,65,2034.83,High,2043.83,Urban,162501.05,63411.28986990977
F,38,3378.5,Low,3380.5,Rural,218624.24,74699.91576362103
M,52,2078.09,Low,2081.09,Semi-Urban,51521.5,15619.292178373726
M,31,1714.69,Low,1717.69,Urban,185678.07,62111.6346433851
F,19,2311.47,Low,2307.47,Urban,127461.17,44348.09325430224
M,18,6502.06,Low,6512.06,Semi-Urban,335675.64,118287.09976838256
F,54,2700.63,Low,2700.63,Semi-Urban,364346.48,121414.22233150416
M,18,2454.84,Low,2465.84,Rural,223364.08,76698.0025965931
F,57,2479.94,Low,2482.94,Semi-Urban,82397.76,26242.70350718672
M,34,1450.08,Low,1445.08,Semi-Urban,74507.18,24118.10609377672
M,33,2072.2,Low,2076.2,Urban,142427.69,47791.16854683445
M,58,1297.73,Low,1300.73,Semi-Urban,57718.45,16428.33177509797
M,40,1709.85,Low,1704.85,Rural,329850.28,109957.74031092976
M,27,1606.43,Low,1610.43,Semi-Urban,199246.11,66737.67553414922
F,43,1745.84,Low,1746.84,Urban,286034.02,95140.31244982163
M,18,1525.49,Low,1539.49,Semi-Urban,131823.25,44723.79995661351
F,61,1492.7,Low,1490.7,Semi-Urban,144685.14,45837.32298646965
F,56,2446.31,Low,2454.31,Urban,116935.52,38029.503069034734
M,41,2253.94,Low,2239.94,Urban,218222.65,72795.42495715347
M,46,2697.38,Low,2701.38,Urban,27870.27,8920.816882189763
F,43,2481.26,Low,2486.26,Rural,127309.4,42714.66048493632
F,37,1308.57,Low,1317.57,Urban,51481.18,16382.70019265294
F,29,4734.91,Low,4738.91,Semi-Urban,651320.72,221872.2694124537
M,35,1289.79,Low,1286.79,Rural,28565.15,8719.349756724987
F,57,3280.24,Low,3288.24,Semi-Urban,50915.98,16488.488201264885
M,18,1823.06,Low,1839.06,Urban,120465.07,41351.61427180789
M,64,2043.95,Low,2041.95,Rural,29202.15,7410.940276931367
F,30,1256.99,Low,1270.99,Urban,12334.69,3736.4620517932126
M,59,2450.68,Low,2437.68,Semi-Urban,128713.8,41368.21467437408
F,45,2079.64,Low,2074.64,Semi-Urban,126208.48,41495.11761930591
F,35,2637.17,Low,2640.17,Urban,231792.97,78465.3708537195
F,55,4721.46,Low,4721.46,Semi-Urban,306696.88,104036.30528261702
M,18,1982.62,Low,1970.62,Semi-Urban,230562.1,78345.5491137244
M,23,1487.48,Low,1473.48,Semi-Urban,94559.15,31757.61571015864
F,24,4081.38,Low,4095.38,Semi-Urban,393856.25,135119.13653794874
F,23,3657.46,Low,3649.46,Semi-Urban,273087.84,94185.90859469282
F,31,2006.31,Low,2010.31,Semi-Urban,67774.83,22903.627806261647
F,35,2595.5,Low,2594.5,Urban,92869.69,31754.664882771856
M,62,3035.33,High,3026.33,Rural,100519.58,43743.67882962196
